Longitude,Latitude,A. californica Priority,A. eriocarpa Priority,A. erosa Priority,A. vestita Priority,Accessibility Score,Survey Status
-121.82155,36.401250000000005,0.3407566547393799,0.4935353398323059,2.486485300323693e-6,1.316351801866622e-11,0.25561627745628357,not visited
-121.81325,36.401250000000005,0.2614348232746124,0.400282084941864,1.229738131769409e-6,8.462618626692286e-12,0.20774415135383606,not visited
-121.80495,36.401250000000005,0.09119077771902084,0.1570599228143692,1.3920451635840436e-7,1.665411406871764e-12,0.10546698421239853,not visited
-121.79665,36.401250000000005,0.05792584270238876,0.11982041597366333,3.035083295799268e-8,2.049230468474661e-13,0.10303281992673874,not visited
-121.78835,36.401250000000005,0.06539078056812286,0.15256424248218536,6.358970683351117e-9,4.896148048626203e-13,0.0956711396574974,not visited
-121.78005,36.401250000000005,0.09468858689069748,0.2528800368309021,2.0126311284229814e-8,7.563365081800222e-13,0.12888655066490173,not visited
-121.77175,36.401250000000005,0,0,0,0,0,not visited
-121.76345,36.401250000000005,0.12429975718259811,0.24728599190711975,3.3970621871048934e-8,1.4694256011624218e-12,0.12329794466495514,not visited
-121.75515,36.401250000000005,0.08664403855800629,0.18200157582759857,2.6819980902814677e-8,8.999862487202304e-13,0.09879764169454575,not visited
-121.74685,36.401250000000005,0.05223885178565979,0.1336594820022583,6.72264599543837e-9,3.5367032653194075e-13,0.08578126132488251,not visited
-121.73855,36.401250000000005,0.06461729854345322,0.1823725402355194,1.62658473357169e-8,1.0985552745257365e-12,0.10785797983407974,not visited
-121.73025,36.401250000000005,0,0,0,0,0,not visited
-121.72195,36.401250000000005,0,0,0,0,0,not visited
-121.71365,36.401250000000005,0.029366791248321533,0.16803810000419617,1.1543356492893508e-8,2.355785922239506e-13,0.08378808200359344,not visited
-121.70535,36.401250000000005,0.03234972804784775,0.14697235822677612,2.3654020964158917e-9,1.2786326901784162e-13,0.07337593287229538,not visited
-121.69705,36.401250000000005,0,0,0,0,0,not visited
-121.82155,36.392950000000006,0,0,0,0,0,not visited
-121.81325,36.392950000000006,0.20765015482902527,0.156121164560318,5.091836214887735e-7,1.3640732423811364e-12,0.16263996064662933,not visited
-121.80495,36.392950000000006,0.27314579486846924,0.31943926215171814,1.0935893897112692e-6,2.4143714805191507e-10,0.21680299937725067,not visited
-121.79665,36.392950000000006,0.1423041671514511,0.23632141947746277,5.3150716894379e-7,1.7741365043733026e-9,0.12116200476884842,not visited
-121.78835,36.392950000000006,0.09009509533643723,0.18112653493881226,1.7897862392146635e-7,1.340705324537339e-9,0.09404677152633667,not visited
-121.78005,36.392950000000006,0.06929513067007065,0.17824381589889526,6.485297632252696e-8,1.5187665361460212e-11,0.09606197476387024,not visited
-121.77175,36.392950000000006,0.0866653099656105,0.2182486355304718,4.814199527913843e-8,1.3234116493648918e-12,0.11391530185937881,not visited
-121.76345,36.392950000000006,0.14086362719535828,0.25957876443862915,2.2501760099657986e-7,5.241759717250494e-12,0.12870386242866516,not visited
-121.75515,36.392950000000006,0.23018786311149597,0.35391709208488464,5.858360054844525e-7,1.0520959103921257e-11,0.1864650547504425,not visited
-121.74685,36.392950000000006,0.1751275360584259,0.2212572991847992,3.2704002705941093e-7,5.3022881224551455e-12,0.14811444282531738,not visited
-121.73855,36.392950000000006,0.12584209442138672,0.1657019853591919,1.3118774688791746e-7,1.8604399704830188e-12,0.1286691278219223,not visited
-121.73025,36.392950000000006,0.07463669776916504,0.16547507047653198,6.847581346391962e-8,8.453510244241236e-13,0.09939692914485931,not visited
-121.72195,36.392950000000006,0.04460839554667473,0.12019074708223343,2.4581552793279116e-8,6.592982453382246e-13,0.06050356850028038,not visited
-121.71365,36.392950000000006,0.04047001898288727,0.1295170783996582,5.89179283139174e-9,5.380524584902568e-13,0.06418208032846451,not visited
-121.70535,36.392950000000006,0.02863788604736328,0.1068875640630722,7.460321804764192e-10,2.2564540297018154e-13,0.05701642483472824,not visited
-121.69705,36.392950000000006,0,0,0,0,0,not visited
-121.82155,36.38465000000001,0,0,0,0,0,not visited
-121.81325,36.38465000000001,0.22480735182762146,0.20196400582790375,3.5566355904848024e-7,4.812982152581358e-13,0.1794176995754242,not visited
-121.80495,36.38465000000001,0.24208217859268188,0.15792213380336761,4.832166382584546e-7,6.66787389191903e-11,0.19007113575935364,not visited
-121.79665,36.38465000000001,0.19349606335163116,0.23686018586158752,1.5183242112470907e-6,1.5396074104501167e-6,0.14728409051895142,not visited
-121.78835,36.38465000000001,0.2120552957057953,0.34758761525154114,2.6216800961265108e-6,1.920142040034989e-6,0.17227216064929962,not visited
-121.78005,36.38465000000001,0.06701010465621948,0.16672639548778534,5.379611707212462e-7,2.2012377698388264e-8,0.09300549328327179,not visited
-121.77175,36.38465000000001,0.05774892494082451,0.1751345545053482,3.031931328223436e-8,8.024158052420682e-13,0.10222811251878738,not visited
-121.76345,36.38465000000001,0.09252291172742844,0.14345864951610565,8.329892153824403e-8,1.4232269876512937e-12,0.10558921098709106,not visited
-121.75515,36.38465000000001,0.06854071468114853,0.06808220595121384,1.0196021094088792e-7,9.896107371065721e-13,0.10084439814090729,not visited
-121.74685,36.38465000000001,0.033794503659009933,0.07817471772432327,4.4809912225218795e-8,4.852739846246401e-13,0.08308684825897217,not visited
-121.73855,36.38465000000001,0.037015125155448914,0.10547009110450745,1.9644630810944363e-8,3.451266236773748e-13,0.07500369101762772,not visited
-121.73025,36.38465000000001,0.038287453353405,0.07843253016471863,1.4367631528955371e-8,2.8386372571097274e-13,0.06461606919765472,not visited
-121.72195,36.38465000000001,0.020707638934254646,0.06962089240550995,9.316006632786866e-9,1.3208349886918713e-13,0.05795104801654816,not visited
-121.71365,36.38465000000001,0.013029507361352444,0.06873553991317749,3.017960992224289e-9,7.733594445174727e-14,0.04946745187044144,not visited
-121.70535,36.38465000000001,0.022335844114422798,0.07948946207761765,2.00666994132348e-9,1.1825363279739654e-13,0.06207047775387764,not visited
-121.82155,36.37635,0.2246781587600708,0.34405797719955444,1.197878845005107e-7,6.857207943827826e-13,0.18593306839466095,not visited
-121.81325,36.37635,0.2298143059015274,0.314958781003952,1.5870256220296142e-7,9.840633082708328e-13,0.1897638738155365,not visited
-121.80495,36.37635,0.21054837107658386,0.27689459919929504,2.479368106378388e-7,6.841546426605838e-12,0.1673063188791275,not visited
-121.79665,36.37635,0.27734896540641785,0.38558802008628845,4.354283191787545e-6,2.2467031612904975e-7,0.21105411648750305,not visited
-121.78835,36.37635,0.19140297174453735,0.2784583568572998,4.7556750359945e-6,1.681761006011584e-7,0.1455751359462738,not visited
-121.78005,36.37635,0.12120667099952698,0.23643670976161957,1.591452928551007e-6,5.5788738073658806e-9,0.12245556712150574,not visited
-121.77175,36.37635,0.08667833358049393,0.17993728816509247,6.090230186828194e-8,1.418476338992114e-12,0.10284429788589478,not visited
-121.76345,36.37635,0.13886523246765137,0.20640423893928528,3.800348849836155e-6,1.3925901230782411e-11,0.11935660243034363,not visited
-121.75515,36.37635,0.2986339330673218,0.42497575283050537,2.6993277060682885e-5,5.00559489691188e-11,0.23850969970226288,not visited
-121.74685,36.37635,0.23954831063747406,0.4049043357372284,2.3481859898311086e-5,2.627990880466058e-11,0.22558748722076416,not visited
-121.73855,36.37635,0.14210565388202667,0.259133517742157,3.334264647492091e-6,8.26005236431726e-12,0.13966436684131622,not visited
-121.73025,36.37635,0.14298288524150848,0.23982878029346466,1.0326854180675582e-6,1.0080851951810299e-11,0.12680557370185852,not visited
-121.72195,36.37635,0.08375873416662216,0.21192073822021484,1.437409480331553e-7,4.387828642093972e-12,0.1098283901810646,not visited
-121.71365,36.37635,0.047580499202013016,0.18172205984592438,1.5121356611302872e-8,1.3730681088647279e-12,0.09346578270196915,not visited
-121.70535,36.37635,0.08045100420713425,0.23161371052265167,2.0284712576312813e-8,3.1671538221894613e-12,0.11955929547548294,not visited
-121.90455,36.368050000000004,0,0,0,0,0,not visited
-121.82155,36.368050000000004,0.2733982503414154,0.11168176680803299,4.2424133539498143e-7,1.720739165305546e-13,0.22003191709518433,not visited
-121.81325,36.368050000000004,0.3197755515575409,0.21836437284946442,9.26506743326172e-7,1.638230241567118e-12,0.24969977140426636,not visited
-121.80495,36.368050000000004,0.3408380150794983,0.41254329681396484,1.8569247686173185e-6,8.916865509855931e-12,0.25723251700401306,not visited
-121.79665,36.368050000000004,0.33918285369873047,0.5007741451263428,3.5753826068685157e-6,3.6697082872461095e-11,0.2551490068435669,not visited
-121.78835,36.368050000000004,0.18259377777576447,0.20803388953208923,2.0714010133815464e-6,3.147851701523763e-10,0.13741843402385712,not visited
-121.78005,36.368050000000004,0.15051808953285217,0.15798304975032806,9.440349231226719e-7,2.6913085648949675e-10,0.11565805971622467,not visited
-121.77175,36.368050000000004,0.18093667924404144,0.24066667258739471,6.754528953933914e-7,7.134262364899557e-12,0.1407206952571869,not visited
-121.76345,36.368050000000004,0.16647757589817047,0.21518774330615997,1.0201404620602261e-5,2.6236946643054537e-11,0.12621279060840607,not visited
-121.75515,36.368050000000004,0.34149402379989624,0.4525095820426941,6.951953400857747e-5,1.3791207065239064e-10,0.25571659207344055,not visited
-121.74685,36.368050000000004,0.3384995460510254,0.4073884189128876,1.0616425424814224e-4,1.4760077882147726e-10,0.2569187581539154,not visited
-121.73855,36.368050000000004,0.23122228682041168,0.23609143495559692,5.708644675905816e-5,5.7488378640835336e-11,0.1783105880022049,not visited
